DATE,OSEAS 7d AV,BREACH
27 Oct 20,6.6,
28 Oct 20,6.4,
29 Oct 20,5.7,
30 Oct 20,5.6,
31 Oct 20,5.3,
1 Nov 20,4.9,
2 Nov 20,5.3,
3 Nov 20,4.1,
4 Nov 20,3.9,
5 Nov 20,4,
6 Nov 20,3.9,
7 Nov 20,4,
8 Nov 20,3.9,
9 Nov 20,4,
10 Nov 20,4.4,
11 Nov 20,4.3,
12 Nov 20,4.7,
13 Nov 20,4.1,
14 Nov 20,4.1,
15 Nov 20,5,
16 Nov 20,4.3,
17 Nov 20,4.1,
18 Nov 20,4.6,
19 Nov 20,4.6,
20 Nov 20,4.9,
21 Nov 20,5.7,
22 Nov 20,6,
23 Nov 20,6.3,
24 Nov 20,6.6,
25 Nov 20,6.1,
26 Nov 20,5.4,
27 Nov 20,5.6,
28 Nov 20,5.3,
29 Nov 20,4.3,
30 Nov 20,5,
1 Dec 20,4.9,
2 Dec 20,5.1,
3 Dec 20,6.4,
4 Dec 20,6.6,6.6
5 Dec 20,5.7,
6 Dec 20,5.9,
7 Dec 20,5.1,
8 Dec 20,5.3,
9 Dec 20,4.7,
10 Dec 20,3.9,
11 Dec 20,4.4,
12 Dec 20,5,
13 Dec 20,4.7,
14 Dec 20,4.6,
15 Dec 20,4.4,
16 Dec 20,5.1,
17 Dec 20,5.6,5.6
18 Dec 20,4.4,
19 Dec 20,4.6,
20 Dec 20,5,
21 Dec 20,5.7,
22 Dec 20,6.4,
23 Dec 20,6.6,
24 Dec 20,7,
25 Dec 20,7.1,
26 Dec 20,7,
27 Dec 20,6.7,
28 Dec 20,6.9,
29 Dec 20,6.3,
30 Dec 20,6.1,
31 Dec 20,5.9,
1 Jan 21,5.9,
2 Jan 21,6.7,
3 Jan 21,6.6,6.6
4 Jan 21,6.3,
5 Jan 21,6,
6 Jan 21,5.1,
7 Jan 21,5,
8 Jan 21,5.7,
9 Jan 21,4.7,
10 Jan 21,4.7,
11 Jan 21,4.9,
12 Jan 21,5.9,
13 Jan 21,6.6,
14 Jan 21,6,
15 Jan 21,5.3,
16 Jan 21,6.1,
17 Jan 21,6.1,
18 Jan 21,6.1,
19 Jan 21,4.9,
20 Jan 21,4.4,
21 Jan 21,4.9,
22 Jan 21,4.7,
23 Jan 21,3.3,
24 Jan 21,3.3,
25 Jan 21,2.6,
26 Jan 21,2.6,
27 Jan 21,2.4,
28 Jan 21,2.1,
29 Jan 21,2.4,
30 Jan 21,2.6,
31 Jan 21,2.6,
1 Feb 21,3,
2 Feb 21,3,
3 Feb 21,3,
4 Feb 21,3,
5 Feb 21,2.6,
6 Feb 21,2.6,
7 Feb 21,2.3,
8 Feb 21,1.7,
9 Feb 21,1.7,
10 Feb 21,2,
11 Feb 21,2,
12 Feb 21,2.3,
13 Feb 21,2.3,
14 Feb 21,2.4,
15 Feb 21,2.3,
16 Feb 21,2.1,
17 Feb 21,2.1,
18 Feb 21,1.7,
19 Feb 21,1.7,
20 Feb 21,1.6,
21 Feb 21,1.7,
22 Feb 21,1.7,
23 Feb 21,2.1,
24 Feb 21,1.7,
25 Feb 21,2.7,
26 Feb 21,3,
27 Feb 21,3.7,
28 Feb 21,4,
1 Mar 21,4.3,
2 Mar 21,4.1,
3 Mar 21,4.9,
4 Mar 21,4.4,
5 Mar 21,5.4,
6 Mar 21,5,
7 Mar 21,4.6,
8 Mar 21,4.3,
9 Mar 21,4.6,
10 Mar 21,4.4,
11 Mar 21,4.7,
12 Mar 21,4.3,
13 Mar 21,3.9,
14 Mar 21,4,4
15 Mar 21,4.1,
16 Mar 21,3.7,
17 Mar 21,3.7,
18 Mar 21,3.3,
19 Mar 21,2.9,
20 Mar 21,3.3,
21 Mar 21,3.1,
22 Mar 21,3.6,
23 Mar 21,3.9,
24 Mar 21,3.4,
25 Mar 21,3.4,
26 Mar 21,3.1,
27 Mar 21,3.1,
28 Mar 21,2.9,
29 Mar 21,2.4,
30 Mar 21,2.6,
31 Mar 21,2.7,
1 Apr 21,2.9,
2 Apr 21,2.4,
3 Apr 21,2.4,
4 Apr 21,2.6,
5 Apr 21,2.7,
6 Apr 21,3,
7 Apr 21,3.4,
8 Apr 21,3.1,
9 Apr 21,3.4,
10 Apr 21,3.6,
11 Apr 21,4.3,
12 Apr 21,5.1,
13 Apr 21,4.9,
14 Apr 21,4.4,
15 Apr 21,5.4,
16 Apr 21,6.1,
17 Apr 21,6.1,6.1
18 Apr 21,6.1,
19 Apr 21,6,
20 Apr 21,5.7,
21 Apr 21,6.4,6.4
22 Apr 21,5.9,
23 Apr 21,7.4,
24 Apr 21,7,
25 Apr 21,6.3,
26 Apr 21,6.3,
27 Apr 21,7.4,
28 Apr 21,7.6,
29 Apr 21,9,
