DATE,OSEAS 7d AV,BREACH
27 Oct 20,0,
28 Oct 20,0,
29 Oct 20,0.6,
30 Oct 20,0.7,
31 Oct 20,0.7,
1 Nov 20,0.7,
2 Nov 20,0.7,
3 Nov 20,0.7,
4 Nov 20,0.7,
5 Nov 20,0.3,
6 Nov 20,0.1,
7 Nov 20,0.1,
8 Nov 20,0.1,
9 Nov 20,0.3,
10 Nov 20,0.4,
11 Nov 20,0.4,
12 Nov 20,0.4,
13 Nov 20,1,
14 Nov 20,1,
15 Nov 20,1,
16 Nov 20,0.9,
17 Nov 20,0.7,
18 Nov 20,0.7,
19 Nov 20,0.6,
20 Nov 20,0,
21 Nov 20,0,
22 Nov 20,0,
23 Nov 20,0.1,
24 Nov 20,0.1,
25 Nov 20,0.4,
26 Nov 20,0.9,
27 Nov 20,0.9,
28 Nov 20,0.9,
29 Nov 20,0.9,
30 Nov 20,0.9,
1 Dec 20,0.9,
2 Dec 20,0.6,
3 Dec 20,1,
4 Dec 20,1,
5 Dec 20,1,
6 Dec 20,1,
7 Dec 20,0.9,
8 Dec 20,1.1,
9 Dec 20,1.1,
10 Dec 20,0.4,
11 Dec 20,0.4,
12 Dec 20,0.4,
13 Dec 20,0.6,
14 Dec 20,0.7,
15 Dec 20,0.7,
16 Dec 20,0.7,
17 Dec 20,0.9,
18 Dec 20,1,
19 Dec 20,1.3,
20 Dec 20,1.1,
21 Dec 20,1,
22 Dec 20,0.7,
23 Dec 20,0.9,
24 Dec 20,0.7,
25 Dec 20,0.6,
26 Dec 20,0.3,
27 Dec 20,0.3,
28 Dec 20,0.3,
29 Dec 20,0.4,
30 Dec 20,0.3,
31 Dec 20,0.3,
1 Jan 21,0.3,
2 Jan 21,1.1,
3 Jan 21,1.4,
4 Jan 21,1.4,
5 Jan 21,2.1,
6 Jan 21,2.1,
7 Jan 21,2.1,
8 Jan 21,2.1,
9 Jan 21,1.4,
10 Jan 21,1.3,
11 Jan 21,1.3,
12 Jan 21,0.4,
13 Jan 21,0.6,
14 Jan 21,0.7,
15 Jan 21,0.7,
16 Jan 21,0.6,
17 Jan 21,0.4,
18 Jan 21,0.4,
19 Jan 21,0.6,
20 Jan 21,0.7,
21 Jan 21,0.6,
22 Jan 21,0.6,
23 Jan 21,0.7,
24 Jan 21,0.7,
25 Jan 21,0.7,
26 Jan 21,0.6,
27 Jan 21,0.3,
28 Jan 21,0.1,
29 Jan 21,0.1,
30 Jan 21,0,
31 Jan 21,0,
1 Feb 21,0,
2 Feb 21,0,
3 Feb 21,0,
4 Feb 21,0.1,
5 Feb 21,0.1,
6 Feb 21,0.4,
7 Feb 21,0.6,
8 Feb 21,0.6,
9 Feb 21,0.6,
10 Feb 21,0.6,
11 Feb 21,0.4,
12 Feb 21,0.4,
13 Feb 21,0.1,
14 Feb 21,0.1,
15 Feb 21,0.1,
16 Feb 21,0.1,
17 Feb 21,0.1,
18 Feb 21,0.1,
19 Feb 21,0.1,
20 Feb 21,0.3,
21 Feb 21,0.1,
22 Feb 21,0.1,
23 Feb 21,0.1,
24 Feb 21,0.1,
25 Feb 21,0.1,
26 Feb 21,0.3,
27 Feb 21,0.1,
28 Feb 21,0.1,
1 Mar 21,0.1,
2 Mar 21,0.1,
3 Mar 21,0.1,
4 Mar 21,0.1,
5 Mar 21,0,
6 Mar 21,0,
7 Mar 21,0,
8 Mar 21,0,
9 Mar 21,0,
10 Mar 21,0,
11 Mar 21,0,
12 Mar 21,0,
13 Mar 21,0,
14 Mar 21,0,
15 Mar 21,0,
16 Mar 21,0,
17 Mar 21,0.1,
18 Mar 21,0.1,
19 Mar 21,0.1,
20 Mar 21,0.1,
21 Mar 21,0.1,
22 Mar 21,0.1,
23 Mar 21,0.1,
24 Mar 21,0,
25 Mar 21,0,
26 Mar 21,0,
27 Mar 21,0,
28 Mar 21,0.3,
29 Mar 21,0.3,
30 Mar 21,0.3,
31 Mar 21,0.3,
1 Apr 21,0.4,
2 Apr 21,0.7,
3 Apr 21,0.7,
4 Apr 21,0.6,
5 Apr 21,0.6,
6 Apr 21,0.6,
7 Apr 21,0.6,
8 Apr 21,0.4,
9 Apr 21,0.1,
10 Apr 21,0.1,
11 Apr 21,0,
12 Apr 21,0,
13 Apr 21,0,
14 Apr 21,0.1,
15 Apr 21,0.1,
16 Apr 21,0.1,
17 Apr 21,1,
18 Apr 21,1,
19 Apr 21,1.6,
20 Apr 21,2.4,
21 Apr 21,2.7,
22 Apr 21,3.4,
23 Apr 21,5.1,
24 Apr 21,5.7,
25 Apr 21,5.9,
26 Apr 21,5.9,
27 Apr 21,5,
28 Apr 21,4.7,
29 Apr 21,4,
