DATE,OSEAS 7d AV,BREACH
27 Oct 20,0.4,
28 Oct 20,0.3,
29 Oct 20,0.6,
30 Oct 20,0.1,
31 Oct 20,0.3,
1 Nov 20,0.4,
2 Nov 20,0.4,
3 Nov 20,0.9,
4 Nov 20,1.1,
5 Nov 20,0.9,
6 Nov 20,1,
7 Nov 20,0.9,
8 Nov 20,0.7,
9 Nov 20,0.7,
10 Nov 20,0.4,
11 Nov 20,0.3,
12 Nov 20,0.7,
13 Nov 20,0.9,
14 Nov 20,1.1,
15 Nov 20,1.1,
16 Nov 20,1.1,
17 Nov 20,1.1,
18 Nov 20,1,
19 Nov 20,1,
20 Nov 20,0.9,
21 Nov 20,0.9,
22 Nov 20,1,
23 Nov 20,1.4,
24 Nov 20,1.4,
25 Nov 20,1.4,
26 Nov 20,1,
27 Nov 20,1.1,
28 Nov 20,1,
29 Nov 20,1,
30 Nov 20,0.6,
1 Dec 20,0.4,
2 Dec 20,0.9,
3 Dec 20,1,
4 Dec 20,1.3,
5 Dec 20,1.4,
6 Dec 20,1.6,
7 Dec 20,2,
8 Dec 20,2.9,
9 Dec 20,2.4,
10 Dec 20,2.9,
11 Dec 20,2.4,
12 Dec 20,2.3,
13 Dec 20,2,
14 Dec 20,1.7,
15 Dec 20,1.3,
16 Dec 20,1.4,
17 Dec 20,1,
18 Dec 20,1.3,
19 Dec 20,1.1,
20 Dec 20,1.4,
21 Dec 20,1.4,
22 Dec 20,1,
23 Dec 20,1,
24 Dec 20,1,
25 Dec 20,1,
26 Dec 20,1.1,
27 Dec 20,0.9,
28 Dec 20,1.4,
29 Dec 20,1.7,
30 Dec 20,1.9,
31 Dec 20,2.1,
1 Jan 21,1.9,
2 Jan 21,2,
3 Jan 21,2.1,
4 Jan 21,2.1,
5 Jan 21,2.1,
6 Jan 21,2,
7 Jan 21,1.7,1.7
8 Jan 21,3,
9 Jan 21,2.7,
10 Jan 21,2.6,
11 Jan 21,2.4,
12 Jan 21,2.4,
13 Jan 21,2.6,
14 Jan 21,3,
15 Jan 21,1.7,
16 Jan 21,1.9,
17 Jan 21,2.1,
18 Jan 21,1.7,
19 Jan 21,1.9,
20 Jan 21,1.9,
21 Jan 21,1.4,
22 Jan 21,1.9,
23 Jan 21,1.9,
24 Jan 21,1.6,
25 Jan 21,1.7,
26 Jan 21,1.3,
27 Jan 21,1.1,
28 Jan 21,1.1,
29 Jan 21,1,
30 Jan 21,0.9,
31 Jan 21,1,
1 Feb 21,0.7,
2 Feb 21,0.9,
3 Feb 21,0.7,
4 Feb 21,0.6,
5 Feb 21,0,
6 Feb 21,0.1,
7 Feb 21,0.1,
8 Feb 21,0.4,
9 Feb 21,0.4,
10 Feb 21,0.6,
11 Feb 21,0.7,
12 Feb 21,1.1,
13 Feb 21,1.3,
14 Feb 21,1.1,
15 Feb 21,0.9,
16 Feb 21,0.7,
17 Feb 21,0.6,
18 Feb 21,0.4,
19 Feb 21,0.4,
20 Feb 21,0.1,
21 Feb 21,0.1,
22 Feb 21,0.4,
23 Feb 21,0.4,
24 Feb 21,0.4,
25 Feb 21,0.6,
26 Feb 21,1,
27 Feb 21,1.1,
28 Feb 21,1.1,
1 Mar 21,1.1,
2 Mar 21,1.7,
3 Mar 21,1.7,
4 Mar 21,2.6,
5 Mar 21,2.3,
6 Mar 21,2.7,
7 Mar 21,3,
8 Mar 21,3.6,
9 Mar 21,3.9,
10 Mar 21,4.7,
11 Mar 21,4.4,
12 Mar 21,4.4,4.4
13 Mar 21,4.3,
14 Mar 21,4.1,
15 Mar 21,4.1,
16 Mar 21,3.4,
17 Mar 21,3.4,
18 Mar 21,3.9,
19 Mar 21,4.9,
20 Mar 21,5,
21 Mar 21,5.1,
22 Mar 21,4.9,
23 Mar 21,4.9,
24 Mar 21,4.6,
25 Mar 21,3.9,
26 Mar 21,3.6,3.6
27 Mar 21,3.7,
28 Mar 21,3.7,
29 Mar 21,4,
30 Mar 21,4.1,
31 Mar 21,3.7,
1 Apr 21,4.4,
2 Apr 21,4.6,
3 Apr 21,4.1,
4 Apr 21,4,
5 Apr 21,3.6,
6 Apr 21,3.1,
7 Apr 21,3.9,
8 Apr 21,3.1,
9 Apr 21,2.1,
10 Apr 21,2,
11 Apr 21,1.9,
12 Apr 21,1.6,
13 Apr 21,2,
14 Apr 21,1.4,
15 Apr 21,1.1,
16 Apr 21,1.9,
17 Apr 21,1.9,
18 Apr 21,2.1,
19 Apr 21,2,
20 Apr 21,1.7,
21 Apr 21,1.6,
22 Apr 21,1.6,
23 Apr 21,1.3,
24 Apr 21,1.6,
25 Apr 21,1.6,
26 Apr 21,2,
27 Apr 21,3.3,
28 Apr 21,4.4,
29 Apr 21,4.9,
