DATE,OSEAS 7d AV,BREACH
27 Oct 20,1.4,
28 Oct 20,1.4,
29 Oct 20,1.6,
30 Oct 20,1.4,
31 Oct 20,1.9,
1 Nov 20,1.3,
2 Nov 20,0.9,
3 Nov 20,1.1,
4 Nov 20,1.1,
5 Nov 20,1.7,
6 Nov 20,1.7,
7 Nov 20,1.6,
8 Nov 20,2,
9 Nov 20,2.3,
10 Nov 20,2.1,
11 Nov 20,2,
12 Nov 20,1.4,
13 Nov 20,1.3,
14 Nov 20,1.3,1.3
15 Nov 20,1,
16 Nov 20,1.4,
17 Nov 20,1.3,
18 Nov 20,1.3,
19 Nov 20,1.1,
20 Nov 20,1.1,
21 Nov 20,1,
22 Nov 20,0.9,
23 Nov 20,0.3,
24 Nov 20,0.4,
25 Nov 20,0.1,
26 Nov 20,0.1,
27 Nov 20,0.1,
28 Nov 20,0,
29 Nov 20,0,
30 Nov 20,-0.1,
1 Dec 20,-0.3,
2 Dec 20,0,
3 Dec 20,0,
4 Dec 20,0,
5 Dec 20,0,
6 Dec 20,0,
7 Dec 20,0,
8 Dec 20,0,
9 Dec 20,0,
10 Dec 20,0,
11 Dec 20,0,
12 Dec 20,0,
13 Dec 20,0,
14 Dec 20,0.1,
15 Dec 20,0.1,
16 Dec 20,0.1,
17 Dec 20,0.1,
18 Dec 20,0.1,
19 Dec 20,0.1,
20 Dec 20,0.6,
21 Dec 20,0.4,
22 Dec 20,0.4,
23 Dec 20,0.4,
24 Dec 20,0.6,
25 Dec 20,0.9,
26 Dec 20,0.7,
27 Dec 20,0.6,
28 Dec 20,0.7,
29 Dec 20,0.7,
30 Dec 20,1.1,
31 Dec 20,1.3,
1 Jan 21,1.6,
2 Jan 21,1.7,
3 Jan 21,1.3,
4 Jan 21,1.7,
5 Jan 21,1.4,
6 Jan 21,1.1,
7 Jan 21,0.9,
8 Jan 21,0.7,
9 Jan 21,1,
10 Jan 21,1.1,
11 Jan 21,0.7,
12 Jan 21,1,
13 Jan 21,1.1,
14 Jan 21,1.1,
15 Jan 21,0.9,
16 Jan 21,0.9,
17 Jan 21,0.9,
18 Jan 21,0.7,
19 Jan 21,0.7,
20 Jan 21,0.6,
21 Jan 21,0.9,
22 Jan 21,0.7,
23 Jan 21,0.4,
24 Jan 21,0.4,
25 Jan 21,0.4,
26 Jan 21,0.4,
27 Jan 21,0.3,
28 Jan 21,0,
29 Jan 21,0,
30 Jan 21,0,
31 Jan 21,0.1,
1 Feb 21,0,
2 Feb 21,0.1,
3 Feb 21,0.7,
4 Feb 21,0.7,
5 Feb 21,0.9,
6 Feb 21,0.9,
7 Feb 21,0.7,
8 Feb 21,1,
9 Feb 21,0.9,
10 Feb 21,0.6,
11 Feb 21,0.7,
12 Feb 21,0.6,
13 Feb 21,0.6,
14 Feb 21,0.6,
15 Feb 21,0.4,
16 Feb 21,0.4,
17 Feb 21,0.4,
18 Feb 21,0.3,
19 Feb 21,0.3,
20 Feb 21,0.3,
21 Feb 21,0.6,
22 Feb 21,0.6,
23 Feb 21,0.9,
24 Feb 21,0.7,
25 Feb 21,0.7,
26 Feb 21,0.7,
27 Feb 21,0.7,
28 Feb 21,0.4,
1 Mar 21,0.9,
2 Mar 21,0.7,
3 Mar 21,0.7,
4 Mar 21,0.7,
5 Mar 21,0.7,
6 Mar 21,0.7,
7 Mar 21,0.7,
8 Mar 21,0.3,
9 Mar 21,0.4,
10 Mar 21,0.4,
11 Mar 21,0.9,
12 Mar 21,1,
13 Mar 21,1.7,
14 Mar 21,1.9,
15 Mar 21,2.3,
16 Mar 21,2.3,
17 Mar 21,2.4,
18 Mar 21,2.3,
19 Mar 21,2.3,
20 Mar 21,1.7,
21 Mar 21,1.6,
22 Mar 21,1.1,
23 Mar 21,0.9,
24 Mar 21,0.9,
25 Mar 21,0.6,
26 Mar 21,0.6,
27 Mar 21,0.9,
28 Mar 21,1.1,
29 Mar 21,1.4,
30 Mar 21,1.9,
31 Mar 21,1.6,
1 Apr 21,1.7,
2 Apr 21,1.9,
3 Apr 21,1.4,
4 Apr 21,1.3,
5 Apr 21,1.3,
6 Apr 21,0.9,
7 Apr 21,1,
8 Apr 21,1,
9 Apr 21,1,
10 Apr 21,1,
11 Apr 21,1,
12 Apr 21,0.7,
13 Apr 21,1.9,
14 Apr 21,1.9,
15 Apr 21,2,
16 Apr 21,1.9,
17 Apr 21,2.4,
18 Apr 21,2.3,
19 Apr 21,3.1,
20 Apr 21,2.4,
21 Apr 21,2.6,
22 Apr 21,3.6,
23 Apr 21,3.4,
24 Apr 21,3,
25 Apr 21,3,
26 Apr 21,4.1,
27 Apr 21,3.9,
28 Apr 21,3.4,
29 Apr 21,2.6,
