DATE,OSEAS 7d AV,BREACH
27 Oct 20,0,
28 Oct 20,0,
29 Oct 20,0,
30 Oct 20,0,
31 Oct 20,0,
1 Nov 20,0,
2 Nov 20,0,
3 Nov 20,0,
4 Nov 20,0,
5 Nov 20,0,
6 Nov 20,0,
7 Nov 20,0,
8 Nov 20,0,
9 Nov 20,0,
10 Nov 20,0,
11 Nov 20,0,
12 Nov 20,0,
13 Nov 20,0,
14 Nov 20,0,
15 Nov 20,0,
16 Nov 20,0,
17 Nov 20,0,
18 Nov 20,0,
19 Nov 20,0,
20 Nov 20,0,
21 Nov 20,0,
22 Nov 20,0,
23 Nov 20,0,
24 Nov 20,0,
25 Nov 20,0,
26 Nov 20,0,
27 Nov 20,0,
28 Nov 20,0,
29 Nov 20,0,
30 Nov 20,0,
1 Dec 20,0,
2 Dec 20,0,
3 Dec 20,0,
4 Dec 20,0,
5 Dec 20,0,
6 Dec 20,0,
7 Dec 20,0,
8 Dec 20,0,
9 Dec 20,0,
10 Dec 20,0,
11 Dec 20,0,
12 Dec 20,0.7,
13 Dec 20,0.9,
14 Dec 20,1,
15 Dec 20,1,
16 Dec 20,1,
17 Dec 20,1,
18 Dec 20,1.1,
19 Dec 20,0.7,
20 Dec 20,0.9,
21 Dec 20,0.9,
22 Dec 20,1.1,
23 Dec 20,1.3,
24 Dec 20,1.3,
25 Dec 20,1.1,
26 Dec 20,0.9,
27 Dec 20,0.7,
28 Dec 20,0.9,
29 Dec 20,0.6,
30 Dec 20,0.6,
31 Dec 20,0.6,
1 Jan 21,1,
2 Jan 21,1.3,
3 Jan 21,1.1,
4 Jan 21,1,
5 Jan 21,1.1,
6 Jan 21,1.3,
7 Jan 21,1.3,
8 Jan 21,1,
9 Jan 21,0.9,
10 Jan 21,1.7,
11 Jan 21,1.7,
12 Jan 21,1.6,
13 Jan 21,1.7,
14 Jan 21,1.4,
15 Jan 21,1.6,
16 Jan 21,1.9,
17 Jan 21,2,
18 Jan 21,2.4,
19 Jan 21,2.7,
20 Jan 21,2.6,
21 Jan 21,3,
22 Jan 21,2.9,
23 Jan 21,2.7,
24 Jan 21,1.7,
25 Jan 21,2,
26 Jan 21,1.9,
27 Jan 21,1.7,
28 Jan 21,2,
29 Jan 21,2,
30 Jan 21,1.9,
31 Jan 21,1.9,
1 Feb 21,1.1,
2 Feb 21,1.1,
3 Feb 21,0.9,0.9
4 Feb 21,0.7,
5 Feb 21,1.1,1.1
6 Feb 21,1,
7 Feb 21,0.9,
8 Feb 21,0.7,0.7
9 Feb 21,0.4,
10 Feb 21,0.6,
11 Feb 21,0.3,
12 Feb 21,-0.3,
13 Feb 21,-0.3,
14 Feb 21,0,
15 Feb 21,0.1,
16 Feb 21,0.6,
17 Feb 21,0.6,
18 Feb 21,0.7,
19 Feb 21,0.7,
20 Feb 21,0.7,
21 Feb 21,0.6,
22 Feb 21,0.4,
23 Feb 21,0.1,
24 Feb 21,0.1,
25 Feb 21,0,
26 Feb 21,0,
27 Feb 21,0,
28 Feb 21,0,
1 Mar 21,0,
2 Mar 21,0,
3 Mar 21,0,
4 Mar 21,0,
5 Mar 21,0,
6 Mar 21,0.1,
7 Mar 21,0,
8 Mar 21,0.1,
9 Mar 21,0.3,
10 Mar 21,0.3,
11 Mar 21,0.3,
12 Mar 21,0.3,
13 Mar 21,0.1,
14 Mar 21,0.3,
15 Mar 21,0.1,
16 Mar 21,0,
17 Mar 21,0,
18 Mar 21,0,
19 Mar 21,0,
20 Mar 21,0,
21 Mar 21,0,
22 Mar 21,0,
23 Mar 21,0,
24 Mar 21,0,
25 Mar 21,0,
26 Mar 21,0,
27 Mar 21,0,
28 Mar 21,0,
29 Mar 21,0.1,
30 Mar 21,0.1,
31 Mar 21,0.1,
1 Apr 21,0.1,
2 Apr 21,0.1,
3 Apr 21,0.1,
4 Apr 21,0.1,
5 Apr 21,0,
6 Apr 21,0,
7 Apr 21,0,
8 Apr 21,0,
9 Apr 21,0,
10 Apr 21,0.1,
11 Apr 21,0.1,
12 Apr 21,0.4,
13 Apr 21,0.4,
14 Apr 21,0.4,
15 Apr 21,1.1,
16 Apr 21,1.1,
17 Apr 21,1.3,
18 Apr 21,1.3,
19 Apr 21,1.6,
20 Apr 21,1.7,
21 Apr 21,2.1,
22 Apr 21,1.7,
23 Apr 21,2,
24 Apr 21,1.9,
25 Apr 21,2,
26 Apr 21,1.4,
27 Apr 21,1.9,
28 Apr 21,1.7,
29 Apr 21,1.6,
