DATE,OSEAS 7d AV,BREACH
27 Oct 20,3.4,
28 Oct 20,3.4,
29 Oct 20,2.4,
30 Oct 20,2,
31 Oct 20,1.6,
1 Nov 20,1.3,
2 Nov 20,1.1,
3 Nov 20,0.9,
4 Nov 20,0.9,
5 Nov 20,1.3,
6 Nov 20,1.3,
7 Nov 20,1.1,
8 Nov 20,1,
9 Nov 20,0.9,
10 Nov 20,0.9,
11 Nov 20,1,
12 Nov 20,0.9,
13 Nov 20,0.7,
14 Nov 20,0.7,
15 Nov 20,1.3,
16 Nov 20,1.4,
17 Nov 20,1.4,
18 Nov 20,2,
19 Nov 20,1.6,
20 Nov 20,1.9,
21 Nov 20,2,
22 Nov 20,1.7,
23 Nov 20,2.3,
24 Nov 20,2.9,
25 Nov 20,2.3,
26 Nov 20,3.3,
27 Nov 20,3,
28 Nov 20,2.9,
29 Nov 20,2.7,
30 Nov 20,2,
1 Dec 20,1.9,
2 Dec 20,1.9,
3 Dec 20,0.9,
4 Dec 20,1.1,
5 Dec 20,1.6,
6 Dec 20,1.7,
7 Dec 20,1.7,
8 Dec 20,1.4,
9 Dec 20,1.3,
10 Dec 20,1.3,
11 Dec 20,1.3,
12 Dec 20,1,
13 Dec 20,0.9,
14 Dec 20,1,
15 Dec 20,0.9,
16 Dec 20,1.3,
17 Dec 20,1.4,
18 Dec 20,1.3,
19 Dec 20,1.3,
20 Dec 20,1.1,
21 Dec 20,1.1,
22 Dec 20,1.1,
23 Dec 20,0.6,
24 Dec 20,0.6,
25 Dec 20,0.6,
26 Dec 20,1.1,
27 Dec 20,1.4,
28 Dec 20,1.7,
29 Dec 20,1.7,
30 Dec 20,1.7,
31 Dec 20,1.9,
1 Jan 21,2,
2 Jan 21,1.6,
3 Jan 21,1.4,
4 Jan 21,1.1,
5 Jan 21,1.3,
6 Jan 21,1.7,
7 Jan 21,1.7,
8 Jan 21,1.4,
9 Jan 21,1.3,
10 Jan 21,1.1,
11 Jan 21,1.3,
12 Jan 21,1.3,
13 Jan 21,1,
14 Jan 21,1,
15 Jan 21,1.4,
16 Jan 21,1.6,
17 Jan 21,1.7,
18 Jan 21,1.4,
19 Jan 21,1.4,
20 Jan 21,1.3,
21 Jan 21,1,
22 Jan 21,0.9,
23 Jan 21,0.9,
24 Jan 21,1,
25 Jan 21,1,
26 Jan 21,1,
27 Jan 21,1.3,
28 Jan 21,1.4,
29 Jan 21,1.3,
30 Jan 21,1.4,
31 Jan 21,1.1,1.1
1 Feb 21,1.1,
2 Feb 21,1.1,
3 Feb 21,0.9,
4 Feb 21,1,
5 Feb 21,1,
6 Feb 21,0.6,
7 Feb 21,0.6,
8 Feb 21,0.6,
9 Feb 21,0.4,
10 Feb 21,0.7,
11 Feb 21,0.6,
12 Feb 21,0.4,
13 Feb 21,0.4,
14 Feb 21,0.4,
15 Feb 21,0.4,
16 Feb 21,0.4,
17 Feb 21,0.1,
18 Feb 21,0,
19 Feb 21,0,
20 Feb 21,0,
21 Feb 21,0.1,
22 Feb 21,0.3,
23 Feb 21,0.4,
24 Feb 21,0.4,
25 Feb 21,0.4,
26 Feb 21,0.4,
27 Feb 21,0.4,
28 Feb 21,0.3,
1 Mar 21,0.1,
2 Mar 21,0,
3 Mar 21,0.1,
4 Mar 21,0.1,
5 Mar 21,0.1,
6 Mar 21,0.4,
7 Mar 21,0.6,
8 Mar 21,0.9,
9 Mar 21,1,
10 Mar 21,1,
11 Mar 21,1.1,
12 Mar 21,1.1,
13 Mar 21,1,
14 Mar 21,1,
15 Mar 21,0.9,
16 Mar 21,0.9,
17 Mar 21,0.9,
18 Mar 21,0.7,
19 Mar 21,1,
20 Mar 21,1,
21 Mar 21,0.9,
22 Mar 21,0.9,
23 Mar 21,0.7,
24 Mar 21,0.7,
25 Mar 21,1,
26 Mar 21,0.7,
27 Mar 21,0.6,
28 Mar 21,0.7,
29 Mar 21,1,
30 Mar 21,1,
31 Mar 21,1.4,
1 Apr 21,1.4,
2 Apr 21,1.4,
3 Apr 21,1.4,
4 Apr 21,1.7,
5 Apr 21,1.4,
6 Apr 21,1.7,
7 Apr 21,1.3,
8 Apr 21,1,
9 Apr 21,1,
10 Apr 21,1,
11 Apr 21,0.9,
12 Apr 21,0.9,
13 Apr 21,1,
14 Apr 21,1.9,
15 Apr 21,2,
16 Apr 21,2.1,
17 Apr 21,2.3,
18 Apr 21,2.9,
19 Apr 21,3,
20 Apr 21,3,
21 Apr 21,2.3,2.3
22 Apr 21,2.1,
23 Apr 21,2,
24 Apr 21,2,
25 Apr 21,1.3,
26 Apr 21,1,
27 Apr 21,1.1,
28 Apr 21,1.4,
29 Apr 21,2,
